dimension,dimension_label,factor_curie,factor_label,factor_verbatim_label,framework,framework_label,external_curie,external_label,external_verbatim_label,match_strength,source_refs,note
ehs:OperationalContext,Operational context,ehs:WorkplaceAccessibilityAndHabitability,Workplace accessibility and habitability,Accessibility/habitability of workplace including travel paths,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-WorkingEnvironment,Working environment,"Working environment (noise, heat, space, lighting, ventilation)",broader,hse_pifs,"HSE bundles noise, heat, space, lighting and ventilation into one factor; IDHEAS-G splits them across four."
ehs:OperationalContext,Operational context,ehs:WorkplaceAccessibilityAndHabitability,Workplace accessibility and habitability,Accessibility/habitability of workplace including travel paths,xw:fw-SPARH,SPAR-H,,,,none,,Asserted absence: no counterpart in this framework.
ehs:OperationalContext,Operational context,ehs:WorkplaceVisibility,Workplace visibility,Workplace visibility,xw:fw-CREAM,CREAM,xw:cream-WorkingConditions,Working conditions,Working conditions,broader,hollnagel1998,
ehs:OperationalContext,Operational context,ehs:WorkplaceVisibility,Workplace visibility,Workplace visibility,xw:fw-HFACS,HFACS,xw:hfacs-PhysicalEnvironment,Physical environment,Physical Environment,broader,shappell2006,
ehs:OperationalContext,Operational context,ehs:WorkplaceVisibility,Workplace visibility,Workplace visibility,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-WorkingEnvironment,Working environment,"Working environment (noise, heat, space, lighting, ventilation)",broader,hse_pifs,
ehs:OperationalContext,Operational context,ehs:WorkplaceVisibility,Workplace visibility,Workplace visibility,xw:fw-SPARH,SPAR-H,,,,none,,Asserted absence: no counterpart in this framework.
ehs:SystemContext,System context,ehs:EquipmentAndTools,Equipment and tools,Equipment and tools,xw:fw-CREAM,CREAM,xw:cream-AdequacyOfMMI,Adequacy of MMI and operational support,Adequacy of man-machine interface and operational support,partial,hollnagel1998,
ehs:SystemContext,System context,ehs:EquipmentAndTools,Equipment and tools,Equipment and tools,xw:fw-HFACS,HFACS,xw:hfacs-TechnologicalEnvironment,Technological environment,Technological Environment,broader,shappell2006,
ehs:SystemContext,System context,ehs:EquipmentAndTools,Equipment and tools,Equipment and tools,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-ToolsAppropriateForTask,Tools appropriate for task,Tools appropriate for task,close,hse_pifs,
ehs:SystemContext,System context,ehs:EquipmentAndTools,Equipment and tools,Equipment and tools,xw:fw-SPARH,SPAR-H,xw:sparh-ErgonomicsHMI,Ergonomics and human-machine interface,Ergonomics (including the human-machine interface),partial,gertman2005,SPAR-H has no tools-and-parts PSF; the correspondence is to the ergonomics PSF only in so far as tools form part of the interface.
ehs:SystemContext,System context,ehs:HumanSystemInterface,Human-system interface,HSI,xw:fw-CREAM,CREAM,xw:cream-AdequacyOfMMI,Adequacy of MMI and operational support,Adequacy of man-machine interface and operational support,close,hollnagel1998,
ehs:SystemContext,System context,ehs:HumanSystemInterface,Human-system interface,HSI,xw:fw-HFACS,HFACS,xw:hfacs-TechnologicalEnvironment,Technological environment,Technological Environment,close,shappell2006,
ehs:SystemContext,System context,ehs:HumanSystemInterface,Human-system interface,HSI,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-SystemEquipmentInterface,System/equipment interface,"System/equipment interface (labelling, alarms, error avoidance/ tolerance)",close,hse_pifs,
ehs:SystemContext,System context,ehs:HumanSystemInterface,Human-system interface,HSI,xw:fw-SPARH,SPAR-H,xw:sparh-ErgonomicsHMI,Ergonomics and human-machine interface,Ergonomics (including the human-machine interface),close,gertman2005,
ehs:SystemContext,System context,ehs:SystemTransparency,System transparency to personnel,System and I&C transparency to personnel,xw:fw-CREAM,CREAM,xw:cream-AdequacyOfMMI,Adequacy of MMI and operational support,Adequacy of man-machine interface and operational support,broader,hollnagel1998,
ehs:SystemContext,System context,ehs:SystemTransparency,System transparency to personnel,System and I&C transparency to personnel,xw:fw-HFACS,HFACS,xw:hfacs-TechnologicalEnvironment,Technological environment,Technological Environment,broader,shappell2006,
ehs:SystemContext,System context,ehs:SystemTransparency,System transparency to personnel,System and I&C transparency to personnel,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-ClarityOfSignsSignals,"Clarity of signs, signals, instructions and other information","Clarity of signs, signals, instructions and other information",close,hse_pifs,
ehs:SystemContext,System context,ehs:SystemTransparency,System transparency to personnel,System and I&C transparency to personnel,xw:fw-SPARH,SPAR-H,xw:sparh-ErgonomicsHMI,Ergonomics and human-machine interface,Ergonomics (including the human-machine interface),broader,gertman2005,
ehs:TaskContext,Task context,ehs:InformationAvailabilityAndReliability,Information availability and reliability,Information availability and reliability,xw:fw-CREAM,CREAM,xw:cream-AdequacyOfMMI,Adequacy of MMI and operational support,Adequacy of man-machine interface and operational support,partial,hollnagel1998,
ehs:TaskContext,Task context,ehs:InformationAvailabilityAndReliability,Information availability and reliability,Information availability and reliability,xw:fw-HFACS,HFACS,xw:hfacs-TechnologicalEnvironment,Technological environment,Technological Environment,partial,shappell2006,
ehs:TaskContext,Task context,ehs:InformationAvailabilityAndReliability,Information availability and reliability,Information availability and reliability,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-ClarityOfSignsSignals,"Clarity of signs, signals, instructions and other information","Clarity of signs, signals, instructions and other information",close,hse_pifs,
ehs:TaskContext,Task context,ehs:InformationAvailabilityAndReliability,Information availability and reliability,Information availability and reliability,xw:fw-SPARH,SPAR-H,xw:sparh-ErgonomicsHMI,Ergonomics and human-machine interface,Ergonomics (including the human-machine interface),partial,gertman2005,
ehs:TaskContext,Task context,ehs:MentalFatigue,Mental fatigue,Mental fatigue,xw:fw-CREAM,CREAM,xw:cream-TimeOfDay,Time of day (circadian rhythm),Time of the day,partial,hollnagel1998,"CREAM's circadian CPC is the only explicit time-of-day factor in any of the five frameworks, and it is not the same construct as mental fatigue."
ehs:TaskContext,Task context,ehs:MentalFatigue,Mental fatigue,Mental fatigue,xw:fw-HFACS,HFACS,xw:hfacs-AdverseMentalStates,Adverse mental states,Adverse Mental States,close,shappell2000,
ehs:TaskContext,Task context,ehs:MentalFatigue,Mental fatigue,Mental fatigue,xw:fw-HFACS,HFACS,xw:hfacs-AdversePhysiologicalStates,Adverse physiological states,Adverse Physiological States,partial,shappell2000,
ehs:TaskContext,Task context,ehs:MentalFatigue,Mental fatigue,Mental fatigue,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-Fatigue,Fatigue,"Fatigue (acute from temporary situation, or chronic)",close,hse_pifs,
ehs:TaskContext,Task context,ehs:MentalFatigue,Mental fatigue,Mental fatigue,xw:fw-SPARH,SPAR-H,xw:sparh-FitnessForDuty,Fitness for duty,Fitness for duty,broader,gertman2005,
ehs:TaskContext,Task context,ehs:MultitaskingInterruptionsAndDistractions,"Multitasking, interruptions and distractions","Multitasking, interruptions, and distractions",xw:fw-CREAM,CREAM,xw:cream-NumberOfSimultaneousGoals,Number of simultaneous goals,Number of simultaneous goals,close,hollnagel1998,
ehs:TaskContext,Task context,ehs:MultitaskingInterruptionsAndDistractions,"Multitasking, interruptions and distractions","Multitasking, interruptions, and distractions",xw:fw-HFACS,HFACS,xw:hfacs-AdverseMentalStates,Adverse mental states,Adverse Mental States,partial,shappell2000,"HFACS lists distraction among adverse mental states, which conflates an environmental demand with an operator state."
ehs:TaskContext,Task context,ehs:MultitaskingInterruptionsAndDistractions,"Multitasking, interruptions and distractions","Multitasking, interruptions, and distractions",xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-DividedAttention,Divided attention,Divided attention,close,hse_pifs,
ehs:TaskContext,Task context,ehs:MultitaskingInterruptionsAndDistractions,"Multitasking, interruptions and distractions","Multitasking, interruptions, and distractions",xw:fw-SPARH,SPAR-H,xw:sparh-Complexity,Complexity,Complexity,partial,gertman2005,
ehs:TaskContext,Task context,ehs:PhysicalDemands,Physical demands,Physical demands,xw:fw-CREAM,CREAM,xw:cream-WorkingConditions,Working conditions,Working conditions,partial,hollnagel1998,
ehs:TaskContext,Task context,ehs:PhysicalDemands,Physical demands,Physical demands,xw:fw-HFACS,HFACS,xw:hfacs-AdversePhysiologicalStates,Adverse physiological states,Adverse Physiological States,partial,shappell2000,
ehs:TaskContext,Task context,ehs:PhysicalDemands,Physical demands,Physical demands,xw:fw-HFACS,HFACS,xw:hfacs-PhysicalMentalLimitations,Physical/mental limitations,Physical/Mental Limitations,close,shappell2000,
ehs:TaskContext,Task context,ehs:PhysicalDemands,Physical demands,Physical demands,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-PhysicalCapability,Physical capability and condition,Physical capability and condition,close,hse_pifs,
ehs:TaskContext,Task context,ehs:PhysicalDemands,Physical demands,Physical demands,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-WorkOverloadUnderload,Work overload/underload,Work overload/underload,partial,hse_pifs,
ehs:TaskContext,Task context,ehs:PhysicalDemands,Physical demands,Physical demands,xw:fw-SPARH,SPAR-H,xw:sparh-FitnessForDuty,Fitness for duty,Fitness for duty,partial,gertman2005,
ehs:TaskContext,Task context,ehs:ScenarioFamiliarity,Scenario familiarity,Scenario familiarity,xw:fw-CREAM,CREAM,xw:cream-AdequacyOfTrainingAndExperience,Adequacy of training and experience,Adequacy of training and experience,partial,hollnagel1998,
ehs:TaskContext,Task context,ehs:ScenarioFamiliarity,Scenario familiarity,Scenario familiarity,xw:fw-HFACS,HFACS,,,,none,,Asserted absence: no counterpart in this framework.
ehs:TaskContext,Task context,ehs:ScenarioFamiliarity,Scenario familiarity,Scenario familiarity,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-RoutineOrUnusual,Routine or unusual,Routine or unusual,close,hse_pifs,
ehs:TaskContext,Task context,ehs:ScenarioFamiliarity,Scenario familiarity,Scenario familiarity,xw:fw-SPARH,SPAR-H,xw:sparh-ExperienceAndTraining,Experience and training,Experience and training,partial,gertman2005,SPAR-H treats novelty as a property of the operator (experience) rather than of the scenario. The two are not the same construct.
ehs:TaskContext,Task context,ehs:TaskComplexity,Task complexity,Task complexity,xw:fw-CREAM,CREAM,xw:cream-NumberOfSimultaneousGoals,Number of simultaneous goals,Number of simultaneous goals,partial,hollnagel1998,
ehs:TaskContext,Task context,ehs:TaskComplexity,Task complexity,Task complexity,xw:fw-HFACS,HFACS,xw:hfacs-PlannedInappropriateOperations,Planned inappropriate operations,Planned Inappropriate Operations,partial,shappell2000,Weak. HFACS has no task-complexity category; the nearest is a supervisory failure to match task to crew.
ehs:TaskContext,Task context,ehs:TaskComplexity,Task complexity,Task complexity,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-DifficultyComplexityOfTask,Difficulty/complexity of task,Difficulty/complexity of task,close,hse_pifs,
ehs:TaskContext,Task context,ehs:TaskComplexity,Task complexity,Task complexity,xw:fw-SPARH,SPAR-H,xw:sparh-Complexity,Complexity,Complexity,close,gertman2005,
ehs:TaskContext,Task context,ehs:TimePressureAndStress,Time pressure and stress,Time pressure and stress,xw:fw-CREAM,CREAM,xw:cream-AvailableTime,Available time,Available time,close,hollnagel1998,
ehs:TaskContext,Task context,ehs:TimePressureAndStress,Time pressure and stress,Time pressure and stress,xw:fw-HFACS,HFACS,xw:hfacs-AdverseMentalStates,Adverse mental states,Adverse Mental States,partial,shappell2000,
ehs:TaskContext,Task context,ehs:TimePressureAndStress,Time pressure and stress,Time pressure and stress,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-StressMorale,Stress/morale,Stress/morale,close,hse_pifs,
ehs:TaskContext,Task context,ehs:TimePressureAndStress,Time pressure and stress,Time pressure and stress,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-TimeAvailableRequired,Time available/required,Time available/required,close,hse_pifs,
ehs:TaskContext,Task context,ehs:TimePressureAndStress,Time pressure and stress,Time pressure and stress,xw:fw-HSE-PIF,HSE Performance Influencing Factors,xw:hse-WorkPressures,Work pressures,Work pressures e.g. production vs. safety,partial,hse_pifs,
ehs:TaskContext,Task context,ehs:TimePressureAndStress,Time pressure and stress,Time pressure and stress,xw:fw-SPARH,SPAR-H,xw:sparh-AvailableTime,Available time,Available time,close,gertman2005,
ehs:TaskContext,Task context,ehs:TimePressureAndStress,Time pressure and stress,Time pressure and stress,xw:fw-SPARH,SPAR-H,xw:sparh-StressAndStressors,Stress and stressors,Stress and stressors,close,gertman2005,One IDHEAS-G factor spans two SPAR-H PSFs. Anyone porting SPAR-H multipliers across this boundary is double counting.
